Title,Scotland ,England ,Northern Ireland,Wales 
1971,5235600,46411700,1540400,2740300
1972,5230600,46571900,1539000,2755200
1973,5233900,46686200,1530000,2772800
1974,5240800,46682700,1526900,2785200
1975,5232400,46674400,1523500,2795400
1976,5233400,46659900,1523500,2799300
1977,5226200,46639800,1523300,2800600
1978,5212300,46638200,1523200,2804300
1979,5203600,46698100,1528300,2810100
1980,5193900,46787200,1532800,2815800
1981,5180200,46820800,1543000,2813500
1982,5164500,46777300,1544500,2804300
1983,5148100,46813700,1550600,2803300
1984,5138900,46912400,1557300,2800700
1985,5127900,47057400,1565400,2803400
1986,5111800,47187600,1573500,2810900
1987,5099000,47300400,1582000,2822600
1988,5077400,47412300,1585400,2841200
1989,5078200,47552700,1590400,2855200
1990,5081300,47699100,1595600,2861500
1991,5083300,47875000,1607300,2873000
1992,5085600,47998000,1623300,2877700
1993,5092500,48102300,1635600,2883600
1994,5102200,48228800,1643700,2887400
1995,5103700,48383500,1649100,2888500
1996,5092200,48519100,1661800,2891300
1997,5083300,48664800,1671300,2894900
1998,5077100,48820600,1677800,2899500
1999,5072000,49032900,1679000,2900600
2000,5062900,49233300,1682900,2906900
2001,5064200,49449700,1688800,2910200
2002,5066000,49679300,1697500,2922900
2003,5068500,49925500,1704900,2937700
2004,5084300,50194600,1714000,2957400
2005,5110200,50606000,1727700,2969300
2006,5133000,50965200,1743100,2985700
2007,5170000,51381100,1761700,3006300
2008,5202900,51815900,1779200,3025900
2009,5231900,52196400,1793300,3038900
2010,5262200,52642500,1804800,3050000
2011,5299900,53107200,1814300,3063800
2012,5308200,53506800,1824600,3070900
2013,5316800,53918700,1831700,3071100
2014,5331400,54370300,1843200,3073800
2015,5350600,54808700,1854900,3072700
2016,5373600,55289000,1866000,3077200
2017,5388200,55619500,1875200,3081400
2018,5392100,55924500,1886300,3083800
2019,5411200,56230100,1898500,3087700
2020,5408900,56326000,1900500,3104500
2021,5412900,56554900,1904600,3105600
2022,5447000,57144400,1910500,3134200
2023,5506000,57932500,1920400,3167300
2024,5546900,58620100,1927900,3186600
